"rok","hodnota","jednotka","druh_vydaje","slozka_ochrany_zp","dotovana_cinnost"
1998,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1998,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1998,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1998,"51856720","Kč","běžné ","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1998,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1998,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1998,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1998,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1998,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1998,,"Kč","běžné ","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1998,,"Kč","běžné ","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1998,"65351330","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1998,"0","Kč","běžné ","Výzkum životního prostředí","Výzkum životního prostředí"
1998,,"Kč","běžné ","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1998,"10496980","Kč","běžné ","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1998,,"Kč","běžné ","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1998,,"Kč","běžné ","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1998,"1081193490","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1998,"0","Kč","kapitálové","Ochrana vody","Prevence znečišťování vody"
1998,"0","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1998,"0","Kč","kapitálové","Ochrana vody","Úprava drobných vodních toků"
1998,"0","Kč","kapitálové","Ochrana ovzduší","Programy zateplování a úspor energie"
1998,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování tuhých emisí"
1998,"74600280","Kč","kapitálové","Ochrana ovzduší","Odstraňování plynných emisí"
1998,"787500700","Kč","kapitálové","Ochrana ovzduší","Změny technologií vytápění"
1998,,"Kč","kapitálové","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1998,"12628820","Kč","kapitálové","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
